model,stratum,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
stock,near,2747,0.9797,0.0049,0.3499,0.0414,5
stock,mid,1238,0.7795,0.0363,0.4463,0.0447,5
stock,far,82,0.3366,0.0109,0.4531,0.1949,5
stock,all,4067,0.9058,0.0133,0.3689,0.0271,5
nearfar,near,2747,0.9886,0.0039,0.273,0.0279,5
nearfar,mid,1238,0.7889,0.0118,0.4572,0.0423,5
nearfar,far,82,0.3098,0.0139,0.5386,0.2893,5
nearfar,all,4067,0.9141,0.0064,0.3052,0.0239,5
distill,near,2747,0.9666,0.0119,0.3447,0.0411,5
distill,mid,1238,0.527,0.0809,0.699,0.0923,5
distill,far,82,0.1707,0.0122,0.9742,0.0354,5
distill,all,4067,0.8167,0.0322,0.3832,0.04,5
distill_shuffle,near,2747,0.971,0.0199,0.2992,0.0997,5
distill_shuffle,mid,1238,0.6234,0.1192,0.5827,0.0598,5
distill_shuffle,far,82,0.2098,0.02,0.9895,0.0235,5
distill_shuffle,all,4067,0.8498,0.0495,0.3342,0.0963,5
distill_synth,near,2747,0.9774,0.0135,0.2955,0.0535,5
distill_synth,mid,1238,0.6157,0.0872,0.7342,0.0742,5
distill_synth,far,82,0.1902,0.0109,1.0,0.0,5
distill_synth,all,4067,0.8514,0.0353,0.3405,0.053,5
nwd,near,2747,0.9867,0.0028,0.2797,0.0235,5
nwd,mid,1238,0.8622,0.0397,0.424,0.0242,5
nwd,far,82,0.4171,0.0642,0.6807,0.1283,5
nwd,all,4067,0.9373,0.0133,0.3108,0.0222,5
